m_id,n,ns_per_op,bed_setup,it_setup,sr_setup,ir_setup,bed_pos,it_pos,sr_pos,ir_pos,b_name
331,7012,172258.0,5,5,3,3,1,2,2,1,BenchmarkParseProtoMap
332,6982,172034.0,5,5,3,3,2,2,2,1,BenchmarkParseProtoMap
333,6979,170536.0,5,5,3,3,3,2,2,1,BenchmarkParseProtoMap
334,6354,171263.0,5,5,3,3,4,2,2,1,BenchmarkParseProtoMap
335,6193,172664.0,5,5,3,3,5,2,2,1,BenchmarkParseProtoMap
336,5917,170425.0,5,5,3,3,1,3,2,1,BenchmarkParseProtoMap
337,6718,172586.0,5,5,3,3,2,3,2,1,BenchmarkParseProtoMap
338,7003,171976.0,5,5,3,3,3,3,2,1,BenchmarkParseProtoMap
339,6904,173604.0,5,5,3,3,4,3,2,1,BenchmarkParseProtoMap
340,6523,171336.0,5,5,3,3,5,3,2,1,BenchmarkParseProtoMap
341,5931,172083.0,5,5,3,3,1,4,2,1,BenchmarkParseProtoMap
342,6920,172049.0,5,5,3,3,2,4,2,1,BenchmarkParseProtoMap
343,6390,171473.0,5,5,3,3,3,4,2,1,BenchmarkParseProtoMap
344,6920,173615.0,5,5,3,3,4,4,2,1,BenchmarkParseProtoMap
345,6871,174881.0,5,5,3,3,5,4,2,1,BenchmarkParseProtoMap
346,6087,171202.0,5,5,3,3,1,5,2,1,BenchmarkParseProtoMap
347,6015,173374.0,5,5,3,3,2,5,2,1,BenchmarkParseProtoMap
348,5835,172962.0,5,5,3,3,3,5,2,1,BenchmarkParseProtoMap
349,6904,172672.0,5,5,3,3,4,5,2,1,BenchmarkParseProtoMap
350,7044,171128.0,5,5,3,3,5,5,2,1,BenchmarkParseProtoMap
